Automation ID,Name,Business process,Trigger,Conditions,Action,Data required,Human approval,Customer-facing,Risk level,Failure mode,Fallback,Audit record,Owner,Launch status,Notes
AUT-001,Capture source and UTM,Lead intake,valid local form import,fields present,normalize and store,lead/source fields,no,no,low,mapping error,quarantine,run log,Marketing ops,Inactive—not configured,Specification only
AUT-002,Create lead task,Lead response,new valid lead,not duplicate/spam,internal task,lead owner/time,no,no,low,task failure,manual queue,task event,Sales ops,Inactive—not configured,Specification only
AUT-003,Lead acknowledgement,Lead response,new valid lead,consent/channel approved,send approved acknowledgement,contact/consent,yes,yes,medium,wrong recipient,manual response,message log,Owner,Inactive—not configured,Specification only
AUT-004,Estimate reminder,Sales follow-up,estimate incomplete,approved SLA,internal reminder,estimate/owner,no,no,low,duplicate task,manual queue,task event,Sales ops,Inactive—not configured,Specification only
AUT-005,Proposal follow-up,Sales follow-up,proposal sent,approved timing/consent,approved customer message,proposal/contact,yes,yes,high,inappropriate message,human follow-up,message log,Owner,Inactive—not configured,Specification only
AUT-006,Review eligibility,Reviews,completed/paid project,no open complaint; owner rules,flag eligible,project/contact,no,no,low,bad eligibility,human review,eligibility log,Operations,Inactive—not configured,Specification only
AUT-007,Review request,Reviews,approved eligible flag,consent and owner approval,approved request,contact/project,yes,yes,high,policy/privacy harm,manual request,message log,Owner,Inactive—not configured,Specification only
AUT-008,Stale opportunity,B2B,idle beyond approved SLA,open opportunity,internal alert,opportunity/activity,no,no,low,alert fatigue,weekly review,alert log,B2B owner,Inactive—not configured,Specification only
AUT-009,Reporting build,Reporting,approved schedule,sources fresh/valid,generate draft report,validated extracts,no,no,low,stale report,label stale/manual,run log,Analyst,Inactive—not configured,Specification only
AUT-010,Data quality scan,Governance,new import/schedule,schema available,validate/quarantine,all canonical tables,no,no,low,false flag,steward review,DQ log,Data steward,Inactive—not configured,Specification only
AUT-011,Contractor follow-up,B2B,approved stage/task,relationship/consent reviewed,approved outreach,contact/opportunity,yes,yes,high,spam/reputation,human outreach,message log,Owner,Inactive—not configured,Specification only
AUT-012,Offline conversion file,Ads reporting,reconciled outcome,consent/platform policy approved,create review-only local file,click/outcome IDs,yes,no,high,bad optimization signal,do not upload,export log,Marketing owner,Inactive—not configured,Specification only
