Service name,Description,Target audience,Approved claim status,Evidence required,Geographic relevance,Landing page,CTA,Publish status,Notes
Hardwood floor refinishing,Evaluate and renew eligible hardwood floors through an approved sanding and finish scope.,Homeowners/property managers,Preliminary repository service,Service proof; exact process; permissions,Approved GNO areas,/refinishing/,Request an estimate,Hold—approval required,Validate current GBP service availability and description limits; avoid duplication
Dust-controlled sanding,Sand eligible hardwood floors using the owner-verified dust-control process; no dust-free claim.,Homeowners/partners,Claim restricted,Equipment/process proof; approved wording,Approved GNO areas,/dust-controlled-sanding/,Discuss the project,Hold—approval required,Validate current GBP service availability and description limits; avoid duplication
Hardwood floor installation,Plan and install eligible hardwood flooring using the method approved for the site.,Homeowners/contractors,Preliminary repository service,Materials/method/capability proof,Owner-confirmed areas,/installation/,Request an estimate,Hold—approval required,Validate current GBP service availability and description limits; avoid duplication
Hardwood floor repair,Assess localized hardwood damage and propose repair where technically and economically appropriate.,Homeowners/managers,Preliminary repository service,Repair portfolio; minimum scope,Core areas first,/repair-restoration/,Request an assessment,Hold—approval required,Validate current GBP service availability and description limits; avoid duplication
Board replacement,Replace selected damaged boards where compatible material and site conditions allow.,Homeowners/contractors,Preliminary repository service,Matching limitations; project proof,Core areas first,/repair-restoration/,Discuss repair options,Hold—approval required,Validate current GBP service availability and description limits; avoid duplication
Historic-floor restoration,Evaluate older floors for a proof-supported restoration scope rather than automatic replacement.,Historic-property owners,Proof required,"Experience, project records, permissions",New Orleans; areas proven,/historic-heart-pine/,Request an evaluation,Hold—approval required,Validate current GBP service availability and description limits; avoid duplication
Heart-pine restoration,Assess eligible heart-pine floors and develop a material-appropriate restoration plan.,Historic-property owners,Proof required,Species/expertise/project proof,Areas proven only,/historic-heart-pine/,Request an evaluation,Hold—approval required,Validate current GBP service availability and description limits; avoid duplication
Stair refinishing,Evaluate hardwood stair treads and related components for an approved refinishing scope.,Homeowners/designers,Preliminary repository service,Scope/exclusions/project proof,Approved GNO areas,/refinishing/,Discuss the stairs,Hold—approval required,Validate current GBP service availability and description limits; avoid duplication
Screen and coat,Assess whether a maintenance abrasion-and-coat process is appropriate instead of full refinishing.,Homeowners/managers,Preliminary repository service,Eligibility/finish compatibility guidance,Approved core,/refinishing/,Check floor eligibility,Hold—approval required,Validate current GBP service availability and description limits; avoid duplication
Commercial hardwood flooring,"Plan approved hardwood scopes around access, coordination and operational needs.",Commercial/hospitality,Proof required,"Capability, insurance, case studies",Owner-approved only,/commercial/,Discuss a commercial scope,Hold—approval required,Validate current GBP service availability and description limits; avoid duplication
Contractor and builder flooring support,Coordinate defined hardwood scopes with builders and general contractors.,Contractors/builders,Proof required,Partner workflow/project proof,Owner-approved only,/contractor-builder/,Start a project conversation,Hold—approval required,Validate current GBP service availability and description limits; avoid duplication
Color and finish consultation,Review appearance goals and owner-approved finish options as part of an eligible project.,Homeowners/designers,Preliminary repository service,Product/process language; sample policy,With eligible projects,/refinishing/,Discuss finish goals,Hold—approval required,Validate current GBP service availability and description limits; avoid duplication
Subfloor preparation,Prepare eligible subfloor or plywood conditions when included in a verified installation scope.,Homeowners/contractors,Conditional,Exact capability/exclusions/site proof,With approved installation,/installation/,Request a site review,Hold—approval required,Validate current GBP service availability and description limits; avoid duplication
