Platform,Owner,Admin,Current access status,Login email,Recovery method,MFA status,Billing owner,Data owner,Integration required,Risk,Next action,Status
Domain registrar,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
DNS,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Website CMS,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Hosting,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Google Business Profile,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Google Ads,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Google Analytics,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Google Tag Manager,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Google Search Console,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Meta Business Manager,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Facebook,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Instagram,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
TikTok,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
YouTube,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
LinkedIn,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Email platform,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
CRM,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Call tracking,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Form backend,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Scheduling tool,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Invoicing,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
Accounting,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
File storage,TBD—owner,TBD,Unverified,Do not store in public/Git,TBD,Unverified,TBD,TBD,Validate first; exact need TBD,"Lockout, orphaned billing, or unauthorized access",Owner identifies primary/admin/recovery without sharing secrets,Awaiting owner
