Field,Current value,Provisional recommendation,Evidence required,Approval,Risk,Status
Business name,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,High,Blocked—live audit and owner approval
Primary category,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,High,Blocked—live audit and owner approval
Secondary categories,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Address/service-area configuration,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,High,Blocked—live audit and owner approval
Service areas,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Phone,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Website URL,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Appointment URL,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Business description,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Opening date,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Hours,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Special hours,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Services,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Products,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Attributes,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Logo,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Cover image,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Exterior images,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Interior images,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Crew images,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Equipment images,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Project images,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Before-and-after images,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Videos,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Posts,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Questions and answers,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Reviews,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Review responses,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Messaging/contact,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Duplicate profiles,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,High,Blocked—live audit and owner approval
Suspension/policy risk,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,High,Blocked—live audit and owner approval
UTM tagging,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Conversion tracking,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
Ownership/access,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,High,Blocked—live audit and owner approval
NAP consistency,Unknown—not audited,Audit and match owner-approved truth; do not change.,Owner confirmation plus dated profile/official evidence,Owner verification,Medium,Blocked—live audit and owner approval
