Campaign,Ad group,Keyword,Match type,Keyword status,Search intent,Audience,Service,Geography,Expected lead value,Landing page,Risk,Priority,Launch status,Notes
Search | Core | Brand | All,NOLA Dustless,nola dustless,Exact,Paused,High-intent service/navigation,All,Brand navigation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Brand | All,NOLA Dustless,nola dustless,Phrase,Paused,High-intent service/navigation,All,Brand navigation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Brand | All,NOLA Dustless Hardwood Floors,nola dustless hardwood floors,Exact,Paused,High-intent service/navigation,All,Brand navigation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Brand | All,NOLA Dustless Hardwood Floors,nola dustless hardwood floors,Phrase,Paused,High-intent service/navigation,All,Brand navigation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Refinishing | Residential,Hardwood Floor Refinishing,hardwood floor refinishing,Exact,Paused,High-intent service/navigation,Residential homeowner,Refinishing,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-refinishing/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Refinishing | Residential,Hardwood Floor Refinishing,hardwood floor refinishing,Phrase,Paused,High-intent service/navigation,Residential homeowner,Refinishing,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-refinishing/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Refinishing | Residential,Wood Floor Refinishing,wood floor refinishing,Exact,Paused,High-intent service/navigation,Residential homeowner,Refinishing,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-refinishing/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Refinishing | Residential,Wood Floor Refinishing,wood floor refinishing,Phrase,Paused,High-intent service/navigation,Residential homeowner,Refinishing,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-refinishing/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Refinishing | Residential,Sanding & Refinishing,floor sanding and refinishing,Exact,Paused,High-intent service/navigation,Residential homeowner,Refinishing,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-refinishing/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Refinishing | Residential,Sanding & Refinishing,floor sanding and refinishing,Phrase,Paused,High-intent service/navigation,Residential homeowner,Refinishing,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-refinishing/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Refinishing | Residential,Refinish Near Me,refinish hardwood floors near me,Exact,Paused,High-intent service/navigation,Residential homeowner,Refinishing,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-refinishing/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Refinishing | Residential,Refinish Near Me,refinish hardwood floors near me,Phrase,Paused,High-intent service/navigation,Residential homeowner,Refinishing,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-refinishing/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Refinishing | Residential,Restore Hardwood Floors,restore hardwood floors,Exact,Paused,High-intent service/navigation,Residential homeowner,Refinishing,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-refinishing/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Refinishing | Residential,Restore Hardwood Floors,restore hardwood floors,Phrase,Paused,High-intent service/navigation,Residential homeowner,Refinishing,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-refinishing/,Claim/scope/irrelevant-intent review required,P1,launch eligible,No volume/CPC claim; validate destination
Search | Core | Dust Controlled Sanding | Residential,Dustless Floor Sanding,dustless floor sanding,Exact,Paused,High-intent service/navigation,Residential homeowner,Dust-controlled sanding,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/dust-controlled-floor-sanding/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Dust Controlled Sanding | Residential,Dustless Floor Sanding,dustless floor sanding,Phrase,Paused,High-intent service/navigation,Residential homeowner,Dust-controlled sanding,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/dust-controlled-floor-sanding/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Dust Controlled Sanding | Residential,Dust-Controlled Sanding,dust controlled floor sanding,Exact,Paused,High-intent service/navigation,Residential homeowner,Dust-controlled sanding,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/dust-controlled-floor-sanding/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Dust Controlled Sanding | Residential,Dust-Controlled Sanding,dust controlled floor sanding,Phrase,Paused,High-intent service/navigation,Residential homeowner,Dust-controlled sanding,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/dust-controlled-floor-sanding/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Dust Controlled Sanding | Residential,Cleaner Refinishing,cleaner floor refinishing,Exact,Paused,High-intent service/navigation,Residential homeowner,Dust-controlled sanding,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/dust-controlled-floor-sanding/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Dust Controlled Sanding | Residential,Cleaner Refinishing,cleaner floor refinishing,Phrase,Paused,High-intent service/navigation,Residential homeowner,Dust-controlled sanding,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/dust-controlled-floor-sanding/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Dust Controlled Sanding | Residential,Sanding With Containment,hardwood sanding with dust containment,Exact,Paused,High-intent service/navigation,Residential homeowner,Dust-controlled sanding,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/dust-controlled-floor-sanding/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Dust Controlled Sanding | Residential,Sanding With Containment,hardwood sanding with dust containment,Phrase,Paused,High-intent service/navigation,Residential homeowner,Dust-controlled sanding,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/dust-controlled-floor-sanding/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Installation | Residential,Hardwood Installation,hardwood installation,Exact,Paused,High-intent service/navigation,Residential homeowner,Installation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-installation/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Installation | Residential,Hardwood Installation,hardwood installation,Phrase,Paused,High-intent service/navigation,Residential homeowner,Installation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-installation/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Installation | Residential,Solid Hardwood Installation,solid hardwood installation,Exact,Paused,High-intent service/navigation,Residential homeowner,Installation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-installation/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Installation | Residential,Solid Hardwood Installation,solid hardwood installation,Phrase,Paused,High-intent service/navigation,Residential homeowner,Installation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-installation/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Installation | Residential,Nail-Down Installation,nail-down installation,Exact,Paused,High-intent service/navigation,Residential homeowner,Installation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-installation/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Installation | Residential,Nail-Down Installation,nail-down installation,Phrase,Paused,High-intent service/navigation,Residential homeowner,Installation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-installation/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Installation | Residential,Hardwood Installer,hardwood installer,Exact,Paused,High-intent service/navigation,Residential homeowner,Installation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-installation/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Installation | Residential,Hardwood Installer,hardwood installer,Phrase,Paused,High-intent service/navigation,Residential homeowner,Installation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-installation/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Installation | Residential,Match Existing Hardwood,match new flooring to existing hardwood,Exact,Paused,High-intent service/navigation,Residential homeowner,Installation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-installation/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Installation | Residential,Match Existing Hardwood,match new flooring to existing hardwood,Phrase,Paused,High-intent service/navigation,Residential homeowner,Installation,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-installation/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Repair Restoration | Residential,Hardwood Floor Repair,hardwood floor repair,Exact,Paused,High-intent service/navigation,Residential homeowner,Repair/restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-repair-restoration/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Repair Restoration | Residential,Hardwood Floor Repair,hardwood floor repair,Phrase,Paused,High-intent service/navigation,Residential homeowner,Repair/restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-repair-restoration/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Repair Restoration | Residential,Board Replacement,board replacement,Exact,Paused,High-intent service/navigation,Residential homeowner,Repair/restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-repair-restoration/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Repair Restoration | Residential,Board Replacement,board replacement,Phrase,Paused,High-intent service/navigation,Residential homeowner,Repair/restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-repair-restoration/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Repair Restoration | Residential,Water Damage,water damage,Exact,Paused,High-intent service/navigation,Residential homeowner,Repair/restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-repair-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Repair Restoration | Residential,Water Damage,water damage,Phrase,Paused,High-intent service/navigation,Residential homeowner,Repair/restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-repair-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Repair Restoration | Residential,Pet Damage,pet damage,Exact,Paused,High-intent service/navigation,Residential homeowner,Repair/restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-repair-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Repair Restoration | Residential,Pet Damage,pet damage,Phrase,Paused,High-intent service/navigation,Residential homeowner,Repair/restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-repair-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Repair Restoration | Residential,Original Floor Restoration,original floor restoration,Exact,Paused,High-intent service/navigation,Residential homeowner,Repair/restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-repair-restoration/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Repair Restoration | Residential,Original Floor Restoration,original floor restoration,Phrase,Paused,High-intent service/navigation,Residential homeowner,Repair/restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-repair-restoration/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Repair Restoration | Residential,Repair Old Wood Floors,repair old wood floors,Exact,Paused,High-intent service/navigation,Residential homeowner,Repair/restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-repair-restoration/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Repair Restoration | Residential,Repair Old Wood Floors,repair old wood floors,Phrase,Paused,High-intent service/navigation,Residential homeowner,Repair/restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/hardwood-floor-repair-restoration/,Claim/scope/irrelevant-intent review required,P1,conditional launch,No volume/CPC claim; validate destination
Search | Core | Historic Heart Pine | Residential,Historic Floor Restoration,historic floor restoration,Exact,Paused,High-intent service/navigation,Historic-property owner,Historic/heart-pine restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/historic-hardwood-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Historic Heart Pine | Residential,Historic Floor Restoration,historic floor restoration,Phrase,Paused,High-intent service/navigation,Historic-property owner,Historic/heart-pine restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/historic-hardwood-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Historic Heart Pine | Residential,Heart-Pine Restoration,heart-pine restoration,Exact,Paused,High-intent service/navigation,Historic-property owner,Historic/heart-pine restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/historic-hardwood-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Historic Heart Pine | Residential,Heart-Pine Restoration,heart-pine restoration,Phrase,Paused,High-intent service/navigation,Historic-property owner,Historic/heart-pine restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/historic-hardwood-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Historic Heart Pine | Residential,Antique Pine Repair,antique pine repair,Exact,Paused,High-intent service/navigation,Historic-property owner,Historic/heart-pine restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/historic-hardwood-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Historic Heart Pine | Residential,Antique Pine Repair,antique pine repair,Phrase,Paused,High-intent service/navigation,Historic-property owner,Historic/heart-pine restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/historic-hardwood-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Historic Heart Pine | Residential,Old New Orleans Floors,old new orleans floor restoration,Exact,Paused,High-intent service/navigation,Historic-property owner,Historic/heart-pine restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/historic-hardwood-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Historic Heart Pine | Residential,Old New Orleans Floors,old new orleans floor restoration,Phrase,Paused,High-intent service/navigation,Historic-property owner,Historic/heart-pine restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/historic-hardwood-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
Search | Core | Historic Heart Pine | Residential,Historic-Home Hardwood,historic home hardwood restoration,Exact,Paused,High-intent service/navigation,Historic-property owner,Historic/heart-pine restoration,Core or location-neutral,TBD—owner economics,https://www.noladustless.com/historic-hardwood-restoration/,Claim/scope/irrelevant-intent review required,P2,hold,No volume/CPC claim; validate destination
