Content ID,Week,Day,Platform,Franchise,Audience,Funnel stage,Format,Working title,Hook,Core message,Script ID,Shot-list ID,CTA,Required project,Required asset,Permission required,Claim verification required,Repurposing destinations,GBP use,SEO support,Paid-social potential,Owner or crew involvement,Production difficulty,Business priority,Status,Performance metric
CAL-001,1,Day 1 (Mon),Production / no post,Can These Floors Be Saved?,Homeowners/local,Operations,Batch brief and capture,Can These Floors Be Saved?: Week 1 Mon,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-001,SL-01,Use the single approved audience-matched CTA.,Cleared qualified project,Verified source/cleared stills,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Cleared assets captured
CAL-002,1,Day 2 (Tue),TikTok + YouTube Shorts,The Floor Guys Explain,Homeowners/local,Consideration,20–45s clean-master short,The Floor Guys Explain: Week 1 Tue,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-002,SL-02,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Average watch time + qualified profile actions
CAL-003,1,Day 3 (Wed),Instagram Stories,Floor ASMR,Homeowners/local,Consideration,3-frame Q&A/process derivative,Floor ASMR: Week 1 Wed,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-003,SL-03,Use the single approved audience-matched CTA.,Cleared qualified project,Approved process footage,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Low,Support,Draft—not approved,Replies + estimate-path taps
CAL-004,1,Day 4 (Thu),LinkedIn,Contractor Field Notes,Contractors/commercial,Consideration,B2B field note,Contractor Field Notes: Week 1 Thu,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-004,SL-04,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Qualified inquiries + saves
CAL-005,1,Day 5 (Fri),Instagram + Facebook,Finish Friday,Homeowners/local,Decision,Matched reveal Reel + carousel,Finish Friday: Week 1 Fri,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-005,SL-05,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Saves/shares + qualified leads
CAL-006,1,Day 6 (Sat),Google Business Profile,Floor Rescue,Homeowners/local,Decision,Locally useful project derivative,Floor Rescue: Week 1 Sat,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-006,SL-06,Use the single approved audience-matched CTA.,Cleared qualified project,Matched before/during/after,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Primary,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,High,Support,Hold—live rules/approval,GBP actions + qualified leads
CAL-007,1,Day 7 (Sun),Community / no post,The NOLA Floor Report,Homeowners/local,Operations,Response and performance review,The NOLA Floor Report: Week 1 Sun,"Before deciding, look at the verified project record.","Show decision factors, real process, one honest limitation, and one next step.",SCR-007,SL-07,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Verified source/cleared stills,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Content/analytics owner,Low,Support,Planned—internal,Response coverage + business outcome reconciliation
CAL-008,2,Day 8 (Mon),Production / no post,Floor ASMR,Homeowners/local,Operations,Batch brief and capture,Floor ASMR: Week 2 Mon,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-008,SL-08,Use the single approved audience-matched CTA.,Cleared qualified project,Approved process footage,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Medium,Support,Planned—internal,Cleared assets captured
CAL-009,2,Day 9 (Tue),TikTok + YouTube Shorts,The Floor Guys Explain,Homeowners/local,Consideration,20–45s clean-master short,The Floor Guys Explain: Week 2 Tue,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-009,SL-09,Use the single approved audience-matched CTA.,No specific project; use cleared example if referenced,Approved process footage,Any referenced asset/person; none for internal operations,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,Candidate,Service/local topic supports future page/GBP when genuinely relevant,High after paid-use permission and tracking,Owner review; crew only during normal safe work,Medium,High,Draft—not approved,Average watch time + qualified profile actions
CAL-010,2,Day 10 (Wed),Instagram Stories,Floor ASMR,Homeowners/local,Consideration,3-frame Q&A/process derivative,Floor ASMR: Week 2 Wed,"Before deciding, look at the verified condition.","Show decision factors, real process, one honest limitation, and one next step.",SCR-010,SL-10,Use the single approved audience-matched CTA.,Cleared qualified project,Approved process footage,Customer/property/crew/location/organic use as applicable,"Scope, process, product, outcome, service/location; history/species if used",IG; FB; TikTok; YT Short; Story; case notes as relevant; no automatic cross-post,No,Service/local topic supports future page/GBP when genuinely relevant,Evaluate,Owner review; crew only during normal safe work,Low,Support,Draft—not approved,Replies + estimate-path taps
