Topic,Search intent,Audience,Funnel stage,Primary service,Recommended format,Required expert input,Required proof,Internal links,CTA,Claim risk,Priority
Can old hardwood floors be saved,Informational with commercial investigation,Homeowners,Awareness/consideration,repair/restoration,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/repair/; relevant local/service hub,Request an evaluation,Medium,1
Refinishing versus replacing,Informational with commercial investigation,Homeowners,Awareness/consideration,refinishing,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/refinishing/; relevant local/service hub,Request an evaluation,Medium,1
Dust-controlled sanding expectations,Informational with commercial investigation,Homeowners,Awareness/consideration,dust-controlled sanding,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/dust-controlled-sanding/; relevant local/service hub,Request an evaluation,High,1
Hardwood flooring in New Orleans humidity,Informational with commercial investigation,Homeowners,Awareness/consideration,installation/refinishing,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/installation/; relevant local/service hub,Request an evaluation,High,2
Old pine and heart-pine floors,Informational with commercial investigation,Homeowners,Awareness/consideration,historic restoration,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/historic-restoration/; relevant local/service hub,Request an evaluation,High,2
Historic-home flooring,Informational with commercial investigation,Homeowners,Awareness/consideration,historic restoration,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/historic-restoration/; relevant local/service hub,Request an evaluation,High,2
Pet stains and water damage,Informational with commercial investigation,Homeowners,Awareness/consideration,repair,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/repair/; relevant local/service hub,Request an evaluation,High,2
Matching new boards to old flooring,Informational with commercial investigation,Homeowners,Awareness/consideration,repair/installation,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/repair/; relevant local/service hub,Request an evaluation,High,2
Waterborne versus oil-based finishes,Informational with commercial investigation,Homeowners,Awareness/consideration,refinishing,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/refinishing/; relevant local/service hub,Request an evaluation,High,2
Satin versus matte finish,Informational with commercial investigation,Homeowners,Awareness/consideration,refinishing,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/refinishing/; relevant local/service hub,Request an evaluation,Medium,2
Screen and coat versus full refinishing,Informational with commercial investigation,Homeowners,Awareness/consideration,refinishing,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/refinishing/; relevant local/service hub,Request an evaluation,Medium,1
Preparing the house for refinishing,Informational with commercial investigation,Homeowners,Awareness/consideration,refinishing,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/refinishing/; relevant local/service hub,Request an evaluation,Medium,1
Moving furniture,Informational with commercial investigation,Homeowners,Awareness/consideration,all,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/all/; relevant local/service hub,Request an evaluation,Medium,2
Staying in the house during work,Informational with commercial investigation,Homeowners,Awareness/consideration,refinishing,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/refinishing/; relevant local/service hub,Request an evaluation,Medium,2
Dry and cure times,Informational with commercial investigation,Homeowners,Awareness/consideration,refinishing,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/refinishing/; relevant local/service hub,Request an evaluation,High,2
Commercial downtime and phasing,Informational with commercial investigation,Commercial operators,Awareness/consideration,commercial,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/commercial/; relevant local/service hub,Request an evaluation,Medium,2
Contractor coordination,Informational with commercial investigation,Contractors,Awareness/consideration,contractor support,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/contractor-support/; relevant local/service hub,Request an evaluation,Medium,2
Common flooring mistakes,Informational with commercial investigation,Homeowners,Awareness/consideration,all,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/all/; relevant local/service hub,Request an evaluation,Medium,2
What affects project pricing,Informational with commercial investigation,Homeowners,Awareness/consideration,all,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/all/; relevant local/service hub,Discuss your project,High,1
What homeowners should ask flooring contractors,Informational with commercial investigation,Homeowners,Awareness/consideration,all,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/all/; relevant local/service hub,Discuss your project,Medium,2
Flooring considerations after leaks or storms,Informational with commercial investigation,Homeowners,Awareness/consideration,repair/restoration,Expert guide with FAQ,Owner/field expert; manufacturer documents where applicable,Approved project examples or none; technical sources,/repair/; relevant local/service hub,Request an evaluation,High,2
