Platform,URL,Category,Cost,NAP impact,SEO value,Referral potential,Evidence required,Membership requirement,Risk,Priority,Submission status
Google Business Profile,https://www.google.com/business/,Major consumer platforms,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,1,Research only—not submitted
Apple Business Connect,https://businessconnect.apple.com/,Major consumer platforms,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,1,Research only—not submitted
Bing Places,https://www.bingplaces.com/,Major consumer platforms,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,1,Research only—not submitted
Yelp for Business,https://business.yelp.com/,Major consumer platforms,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,1,Research only—not submitted
Better Business Bureau,https://www.bbb.org/,Major consumer platforms,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,1,Research only—not submitted
Data Axle,https://www.data-axle.com/,Core data aggregators,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,1,Research only—not submitted
Foursquare,https://foursquare.com/,Core data aggregators,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,1,Research only—not submitted
New Orleans Chamber of Commerce,https://neworleanschamber.org/,Chambers of commerce,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,2,Research only—not submitted
Jefferson Chamber of Commerce,https://jeffersonchamber.org/,Chambers of commerce,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,2,Research only—not submitted
St. Tammany Chamber of Commerce,https://sttammanychamber.org/,Chambers of commerce,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,2,Research only—not submitted
Home Builders Association of Greater New Orleans,https://www.hbagno.org/,Building/remodeling associations,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,2,Research only—not submitted
Louisiana Home Builders Association,https://lhba.org/,Building/remodeling associations,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,2,Research only—not submitted
Preservation Resource Center of New Orleans,https://prcno.org/,Historic preservation organizations,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,2,Research only—not submitted
AIA New Orleans,https://www.aianeworleans.org/,Architecture/design directories,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,2,Research only—not submitted
ASID Louisiana,https://la.asid.org/,Architecture/design directories,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,2,Research only—not submitted
Louisiana Restaurant Association,https://www.lra.org/,Hospitality associations,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,2,Research only—not submitted
Greater New Orleans Hotel & Lodging Association,https://gnohla.com/,Hospitality associations,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,2,Research only—not submitted
National Wood Flooring Association,https://www.woodfloors.org/,Industry associations,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,2,Research only—not submitted
Blue Book Building & Construction Network,https://www.thebluebook.com/,Contractor directories,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,2,Research only—not submitted
Houzz,https://www.houzz.com/,Contractor directories,Validate—never assume free,Potential; audit actual propagation,Unverified,Unverified,Approved NAP; ownership; business/service proof,Validate current eligibility/membership,Stale/duplicate/lead resale/cost; platform-specific,2,Research only—not submitted
