Asset ID,Category,Description,Existing or missing,Location,Quality,Permission,Claim supported,Required page,Required campaign,Required social use,Required B2B use,Owner action,Priority,Status
AS-01,Logo,"Verified, current, channel-cleared logo",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P0,Blocked
AS-02,Brand files,"Verified, current, channel-cleared brand files",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P0,Blocked
AS-03,Team photos,"Verified, current, channel-cleared team photos",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-04,Equipment photos,"Verified, current, channel-cleared equipment photos",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-05,Before-and-after projects,"Verified, current, channel-cleared before-and-after projects",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P0,Blocked
AS-06,Refinishing project proof,"Verified, current, channel-cleared refinishing project proof",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P0,Blocked
AS-07,Installation proof,"Verified, current, channel-cleared installation proof",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P0,Blocked
AS-08,Repair proof,"Verified, current, channel-cleared repair proof",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-09,Historic-floor proof,"Verified, current, channel-cleared historic-floor proof",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-10,Heart-pine proof,"Verified, current, channel-cleared heart-pine proof",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-11,Commercial proof,"Verified, current, channel-cleared commercial proof",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-12,Contractor proof,"Verified, current, channel-cleared contractor proof",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-13,Hospitality proof,"Verified, current, channel-cleared hospitality proof",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-14,Stair proof,"Verified, current, channel-cleared stair proof",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-15,Reviews,"Verified, current, channel-cleared reviews",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-16,Testimonials,"Verified, current, channel-cleared testimonials",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-17,Licensing documents,"Verified, current, channel-cleared licensing documents",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P0,Blocked
AS-18,Insurance documents,"Verified, current, channel-cleared insurance documents",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P0,Blocked
AS-19,Vendor forms,"Verified, current, channel-cleared vendor forms",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-20,Project descriptions,"Verified, current, channel-cleared project descriptions",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-21,Service-area proof,"Verified, current, channel-cleared service-area proof",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-22,Customer permissions,"Verified, current, channel-cleared customer permissions",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P0,Blocked
AS-23,Project-name permissions,"Verified, current, channel-cleared project-name permissions",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-24,Address/location permissions,"Verified, current, channel-cleared address/location permissions",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P1,Blocked
AS-25,Drone footage,"Verified, current, channel-cleared drone footage",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P2,Blocked
AS-26,Horizontal video,"Verified, current, channel-cleared horizontal video",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P2,Blocked
AS-27,Vertical video,"Verified, current, channel-cleared vertical video",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P2,Blocked
AS-28,Commercial references,"Verified, current, channel-cleared commercial references",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P2,Blocked
AS-29,Contractor references,"Verified, current, channel-cleared contractor references",Unverified,TBD—restricted owner storage,Unassessed,Unverified; scope must be recorded,None until evidence linked,Service-matched/TBD,Service-matched/TBD,Only if approved,Only if approved,"Locate, assess, register evidence and permission",P2,Blocked
