Core asset,Instagram Reel,Instagram carousel,Instagram Story,Facebook Reel,Facebook post,TikTok,YouTube Short,YouTube long-form segment,LinkedIn post,GBP post,Blog post,Landing-page proof,Email content,Contractor outreach proof,Paid-social creative,Retargeting creative,Permission/claim gate
Hero transformation,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,"Parent asset rights + derivative/platform/paid rights; facts, location, people, music and CTA cleared"
Matched before/after set,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,"Parent asset rights + derivative/platform/paid rights; facts, location, people, music and CTA cleared"
Expert explainer,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,"Parent asset rights + derivative/platform/paid rights; facts, location, people, music and CTA cleared"
ASMR process clip,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,"Parent asset rights + derivative/platform/paid rights; facts, location, people, music and CTA cleared"
Contractor field note,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Primary derivative,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Primary derivative,Primary derivative,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,"Parent asset rights + derivative/platform/paid rights; facts, location, people, music and CTA cleared"
Verified historic lesson,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,Adapt with sources if format supports context,"Parent asset rights + derivative/platform/paid rights; facts, location, people, music and CTA cleared; historical source/expert review"
Commercial case package,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,"Parent asset rights + derivative/platform/paid rights; facts, location, people, music and CTA cleared"
Customer testimonial,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,Exact approved excerpt/format if channel-relevant,"Parent asset rights + derivative/platform/paid rights; facts, location, people, music and CTA cleared; exact quote/testimonial permission"
Project photo gallery,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,"Parent asset rights + derivative/platform/paid rights; facts, location, people, music and CTA cleared"
NOLA Floor Report,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,Adapt natively if audience/relevance justify; do not auto-post,"Parent asset rights + derivative/platform/paid rights; facts, location, people, music and CTA cleared"
