Campaign,Ad group,Ad group status,Launch status,Theme,Default max CPC,Landing page,Notes
Search | Core | Brand | All,NOLA Dustless,Paused,launch eligible,NOLA Dustless,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Brand | All,NOLA Dustless Hardwood Floors,Paused,launch eligible,NOLA Dustless Hardwood Floors,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Refinishing | Residential,Hardwood Floor Refinishing,Paused,launch eligible,Hardwood Floor Refinishing,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Refinishing | Residential,Wood Floor Refinishing,Paused,launch eligible,Wood Floor Refinishing,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Refinishing | Residential,Sanding & Refinishing,Paused,launch eligible,Sanding & Refinishing,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Refinishing | Residential,Refinish Near Me,Paused,launch eligible,Refinish Near Me,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Refinishing | Residential,Restore Hardwood Floors,Paused,launch eligible,Restore Hardwood Floors,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Dust Controlled Sanding | Residential,Dustless Floor Sanding,Paused,conditional launch,Dustless Floor Sanding,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Dust Controlled Sanding | Residential,Dust-Controlled Sanding,Paused,conditional launch,Dust-Controlled Sanding,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Dust Controlled Sanding | Residential,Cleaner Refinishing,Paused,conditional launch,Cleaner Refinishing,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Dust Controlled Sanding | Residential,Sanding With Containment,Paused,conditional launch,Sanding With Containment,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Installation | Residential,Hardwood Installation,Paused,conditional launch,Hardwood Installation,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Installation | Residential,Solid Hardwood Installation,Paused,conditional launch,Solid Hardwood Installation,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Installation | Residential,Nail-Down Installation,Paused,conditional launch,Nail-Down Installation,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Installation | Residential,Hardwood Installer,Paused,conditional launch,Hardwood Installer,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Installation | Residential,Match Existing Hardwood,Paused,conditional launch,Match Existing Hardwood,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Repair Restoration | Residential,Hardwood Floor Repair,Paused,conditional launch,Hardwood Floor Repair,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Repair Restoration | Residential,Board Replacement,Paused,conditional launch,Board Replacement,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Repair Restoration | Residential,Water Damage,Paused,hold,Water Damage,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Repair Restoration | Residential,Pet Damage,Paused,hold,Pet Damage,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Repair Restoration | Residential,Original Floor Restoration,Paused,conditional launch,Original Floor Restoration,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Repair Restoration | Residential,Repair Old Wood Floors,Paused,conditional launch,Repair Old Wood Floors,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Historic Heart Pine | Residential,Historic Floor Restoration,Paused,hold,Historic Floor Restoration,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Historic Heart Pine | Residential,Heart-Pine Restoration,Paused,hold,Heart-Pine Restoration,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Historic Heart Pine | Residential,Antique Pine Repair,Paused,hold,Antique Pine Repair,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Historic Heart Pine | Residential,Old New Orleans Floors,Paused,hold,Old New Orleans Floors,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Historic Heart Pine | Residential,Historic-Home Hardwood,Paused,hold,Historic-Home Hardwood,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
Search | Core | Commercial | B2B,Commercial Hardwood Contractor,Paused,hold,Commercial Hardwood Contractor,TBD owner/Keyword Planner,see keyword/ad URL mapping,Tightly themed; exact and phrase
