Positioning concept,Audience,Customer problem solved,Differentiation,Evidence strength,Revenue potential,Memorability,Operational credibility,Claim risk,Ease of execution,Long-term defensibility,Overall recommendation,Notes
Decision clarity: restore/repair/refinish/install,Residential/all,Unclear path,High—decision role,Medium—repository direction; cases needed,High,High,Medium,Low,Medium,High,Primary,Recommended brand core; verify capabilities
Clear judgment + controlled process + verifiable work,All,Trust and uncertainty,High—system not slogan,Low-medium—proof system not built,Strategic,High,Medium,Low,Medium,High,Primary platform,Internal only; controlled-process wording proof-gated
Dust-controlled refinishing,Residential,Dust/disruption,Medium,Low—process wording pending,High,Medium,Low-medium,Medium,Medium,Medium,Supporting message,Never dust-free; verify system
Restore before replace,Residential/historic,Fear of losing viable wood,High,Low-medium,High,High,Medium,Medium,High,High,Homeowner campaign test,Always where feasible
Historic character stewardship,Historic owners,Loss of original character,High,Low—cases/competence missing,Strategic,High,Low-medium,Medium-high,Low,High,Build proof first,Do not claim specialist yet
Contractor coordination and scope discipline,GC/builders,Subcontractor risk,High,Low—workflow/references pending,Strategic,Medium-high,Medium,Low-medium,Medium,High,Priority B2B build,Operational system must precede claim
Commercial accountability and phasing,Commercial/hospitality,Downtime/procurement risk,High,Low—proof/capacity missing,Strategic,Medium,Low,Medium-high,Low,High,Proof-gated opportunity,Qualify vertical and size
New Orleans property awareness,Local homeowners/designers,Generic contractor concern,Medium-high,Low-medium,High,High,Medium,Medium,Medium,High,Supporting platform,"Use verified cases, not sweeping claims"
Northshore specialist access,Northshore,Limited qualified access,Medium,Low,Medium-high,Medium,Low,Medium,Low,Medium,Validate first,Territory/minimums/economics unknown
Dramatic before-and-after transformations,Homeowners/social,Outcome visualization,Low-medium alone,Low—permission inventory pending,Medium,High,Medium,Low,High,Low,Support only,Add diagnosis/process/limits
The NOLA Floor Guys,Residential/contractor,Recall and approachability,Medium,Medium as language only,Medium,High,Medium,Low-medium,High,Medium,Test—not master position,May weaken premium/commercial credibility
The Hardwood Authority,All,Need for expertise,Medium,Low,High,Medium,Low,High,High,Medium,Reject for now,Leadership claim unsupported
Cheapest flooring company,Price shoppers,Lowest upfront bid,Low/negative,Not applicable,Low-quality,Medium,Low,High,Medium,None,Reject,Conflicts with economics and brand
Residential craft + commercial accountability,Residential/commercial,Cross-market confidence,High,Low—commercial proof missing,Strategic,Medium,Low-medium,Medium,Medium,High,Commercial test after proof,Do not imply current breadth unsupported
