Event name,Display name,Event category,Primary or secondary,Trigger,Page,Audience,Google Ads action,GA event,CRM field or stage,Deduplication key,Value approach,Consent requirement,QA method,Launch status,Notes
qualified_phone_call,Qualified phone call,Lead,Primary,Human-reviewed connected call meets approved qualification criteria,All/call,All,Primary after QA,Yes,Qualified,provider_call_id + canonical_lead_id,Provisional qualified-lead value until outcome data,Approved ads/analytics and call consent regime,Synthetic call + disposition + reconciliation,Blocked,Duration alone is insufficient
residential_estimate_submitted,Residential estimate submitted,Lead,Primary,Server accepts idempotent residential form,Request estimate,Residential,Primary initially,Yes,New,server_event_id,Provisional lead value; replace with outcome data,Form processing; ads consent as applicable,Valid/invalid/retry/duplicate tests,Blocked,No client-only conversion
contractor_inquiry_submitted,Contractor inquiry submitted,Lead,Primary,Server accepts contractor form,Request estimate,Contractor,Primary only if approved campaign,Yes,New,server_event_id,Provisional by lead type,As applicable,End-to-end test,Blocked,Separate routing
commercial_inquiry_submitted,Commercial inquiry submitted,Lead,Primary,Server accepts commercial form,Request estimate,Commercial,Primary only if approved campaign,Yes,New,server_event_id,Provisional by lead type,As applicable,End-to-end test,Blocked,Separate routing
estimate_scheduled,Estimate scheduled,Offline lifecycle,Primary,CRM stage enters Estimate Scheduled,Offline,All,Import primary when reliable,Optional mirror,Estimate Scheduled,lead_id + stage + stage_timestamp,Approved expected value or none,Eligible identifier/measurement consent,CRM/upload reconciliation,Blocked,Immutable timestamp
site_walkthrough_scheduled,Site walkthrough scheduled,Offline lifecycle,Primary,CRM commercial walkthrough timestamp set,Offline,Commercial,Import primary when reliable,Optional mirror,Estimate Scheduled,lead_id + event + timestamp,Approved expected value or none,Eligible identifier/measurement consent,CRM/upload reconciliation,Blocked,Distinct commercial milestone
estimate_completed,Estimate completed,Offline lifecycle,Primary,CRM stage enters Estimate Completed,Offline,All,Import primary when reliable,Optional mirror,Estimate Completed,lead_id + stage + timestamp,Approved expected value or none,Eligible identifier/measurement consent,CRM/upload reconciliation,Blocked,Not merely scheduled
proposal_sent,Proposal sent,Offline lifecycle,Primary,CRM stage enters Proposal Sent,Offline,All,Import primary when reliable,Optional mirror,Proposal Sent,lead_id + stage + timestamp,Proposal value only if governed,Eligible identifier/measurement consent,CRM/upload reconciliation,Blocked,Value definition pending
job_won,Job won,Revenue,Primary,Approved won definition met,Offline,All,Primary mature goal,Optional mirror,Won,opportunity_id + won_timestamp,Booked contract value per owner definition,Eligible identifier/measurement consent,Won-record reconciliation,Blocked,Adjust/retract cancellations
revenue_booked,Revenue booked,Revenue,Primary,Approved accounting booking occurs,Offline,All,Value import after governance,No required,Revenue amount/date,financial_transaction_id,Actual approved booked revenue; USD,Eligible identifier/measurement consent,Finance-to-upload reconciliation,Blocked,Definition pending
gross_profit_booked,Gross profit booked,Profit,Primary,Approved accounting GP finalized,Offline,All,Value import only after strict governance,No required,Gross profit amount/date,financial_record_id + version,Actual approved gross profit; USD,Eligible identifier/measurement consent,Finance permissions/reconciliation,Blocked,Restrict access; adjustments required
click_to_call,Click to call,Engagement,Secondary,tel link activation,All,All,Secondary; never mature Smart Bidding primary,Yes,None,element + session,No value,Analytics consent as applicable,Debug mode + single-fire check,Blocked,Diagnostic/engagement only
form_start,Form start,Engagement,Secondary,first meaningful form interaction,Estimate/forms,All,Secondary; never mature Smart Bidding primary,Yes,None,form_id + session,No value,Analytics consent as applicable,Debug mode + single-fire check,Blocked,Diagnostic/engagement only
form_step_complete,Form step complete,Engagement,Secondary,defined section validates,Estimate/forms,All,Secondary; never mature Smart Bidding primary,Yes,None,form_id + step + session,No value,Analytics consent as applicable,Debug mode + single-fire check,Blocked,Diagnostic/engagement only
form_error,Form error,Diagnostic,Secondary,validation/server error shown,Estimate/forms,All,Secondary; never mature Smart Bidding primary,Yes,None,form_id + error_instance,No value,Analytics consent as applicable,Debug mode + single-fire check,Blocked,Diagnostic/engagement only
photo_upload,Photo upload,Engagement,Secondary,secure server accepts photo,Forms,All,Secondary; never mature Smart Bidding primary,Yes,None,upload_event_id,No value,Analytics consent as applicable,Debug mode + single-fire check,Blocked,Diagnostic/engagement only
document_upload,Document upload,Engagement,Secondary,secure server accepts document,Forms,All,Secondary; never mature Smart Bidding primary,Yes,None,upload_event_id,No value,Analytics consent as applicable,Debug mode + single-fire check,Blocked,Diagnostic/engagement only
email_click,Email click,Engagement,Secondary,approved mail link activation,All,All,Secondary; never mature Smart Bidding primary,Yes,None,element + session,No value,Analytics consent as applicable,Debug mode + single-fire check,Blocked,Diagnostic/engagement only
directions_click,Directions click,Engagement,Secondary,approved directions link activation,Areas/footer,All,Secondary; never mature Smart Bidding primary,Yes,None,element + session,No value,Analytics consent as applicable,Debug mode + single-fire check,Blocked,Diagnostic/engagement only
gallery_view,Gallery view,Engagement,Secondary,gallery item intentionally opened,Gallery/service,All,Secondary; never mature Smart Bidding primary,Yes,None,asset_id + session,No value,Analytics consent as applicable,Debug mode + single-fire check,Blocked,Diagnostic/engagement only
before_after_interaction,Before/after interaction,Engagement,Secondary,control intentionally used,Gallery/service,All,Secondary; never mature Smart Bidding primary,Yes,None,asset_id + session,No value,Analytics consent as applicable,Debug mode + single-fire check,Blocked,Diagnostic/engagement only
faq_expand,FAQ expand,Engagement,Secondary,FAQ opens,Service,All,Secondary; never mature Smart Bidding primary,Yes,None,faq_id + session,No value,Analytics consent as applicable,Debug mode + single-fire check,Blocked,Diagnostic/engagement only
service_area_view,Service area view,Engagement,Secondary,area detail viewed,Areas/service,All,Secondary; never mature Smart Bidding primary,Yes,None,area_id + session,No value,Analytics consent as applicable,Debug mode + single-fire check,Blocked,Diagnostic/engagement only
thank_you_view,Thank-you view,Diagnostic,Secondary,valid receipt page renders,Thank you,All,Secondary; never mature Smart Bidding primary,Yes,None,server_event_id + session,No value,Analytics consent as applicable,Debug mode + single-fire check,Blocked,Diagnostic/engagement only
