query,geography,audience,funnel_stage,service_intent,priority_1_10,recommended_destination,content_or_proof_needed,negative_or_qualification_note,evidence_status
hardwood floor refinishing New Orleans,New Orleans,Homeowner,Decision,Refinishing,10,Future refinishing service page,Process; real projects; finish options; verified reviews,Qualify scope and floor type,Strategic keyword hypothesis; volume/rank not verified
wood floor refinishing near me,Searcher location,Homeowner,Decision,Refinishing,10,Google Business Profile plus future local page,Service area; recent photos; reviews; call CTA,Location dependent,Strategic keyword hypothesis; volume/rank not verified
dustless floor sanding New Orleans,New Orleans,Homeowner,Decision,Dust-controlled sanding,9,Future dust-control explainer,Exact equipment/process; containment limits; cleanup evidence,Do not promise zero dust,Strategic keyword hypothesis; volume/rank not verified
hardwood floor installation New Orleans,New Orleans,Homeowner/contractor,Decision,Installation,9,Future installation page,Species; methods; subfloor; project portfolio,Exclude product-only intent if needed,Strategic keyword hypothesis; volume/rank not verified
hardwood floor repair New Orleans,New Orleans,Homeowner,Decision,Repair,8,Future repair/assessment page,Repair types; minimums; matching limitations,Small jobs may be uneconomic—owner rule needed,Strategic keyword hypothesis; volume/rank not verified
historic floor restoration New Orleans,New Orleans/Historic districts,Historic homeowner/designer,Decision,Restoration,10,Future historic restoration hub,Documented historic projects; material judgment; permissions,Avoid preservation expertise claim without proof,Strategic keyword hypothesis; volume/rank not verified
heart pine restoration New Orleans,New Orleans,Historic homeowner/contractor,Decision,Heart pine restoration,9,Future heart-pine page,Verified species/project evidence; repair methods,Species must be verified,Strategic keyword hypothesis; volume/rank not verified
antique pine floor repair,Regional,Historic homeowner/contractor,Decision,Antique pine repair,8,Future pine repair article/service page,Board sourcing policy; matching; patches; documented outcomes,Do not imply salvaged stock availability,Strategic keyword hypothesis; volume/rank not verified
screen and recoat hardwood floors New Orleans,New Orleans,Homeowner,Decision,Maintenance,7,Future screen-and-coat page,Candidacy criteria; limits; before/after,Qualify floors that need full sanding,Discovered related high-intent hypothesis
hardwood floor stain color New Orleans,New Orleans,Homeowner,Consideration,Color consultation,6,Future stain guide,Real samples; lighting/species caveats,No guaranteed color from photos,Discovered related intent hypothesis
hardwood floor water damage repair New Orleans,New Orleans,Homeowner/property manager,Decision,Repair,8,Future damage assessment page,Moisture/process boundaries; partner needs,Emergency and remediation boundaries required,Discovered related high-intent hypothesis
hardwood floor refinishing Metairie,Metairie,Homeowner,Decision,Refinishing,9,Future Metairie local page,Metairie projects; service facts; reviews,Owner confirms service area,Strategic keyword hypothesis; volume/rank not verified
hardwood flooring Kenner,Kenner,Homeowner/contractor,Decision,Mixed hardwood,7,Future Kenner local page,Local projects and services,Owner confirms priority/minimums,Strategic keyword hypothesis; volume/rank not verified
hardwood floor refinishing Lakeview,New Orleans Lakeview,Homeowner,Decision,Refinishing,7,Future neighborhood proof page,Permissioned Lakeview projects,Do not create thin doorway page,Local intent hypothesis
hardwood floor restoration Garden District,Garden District,Historic homeowner/designer,Decision,Restoration,8,Future historic-project collection,Permissioned relevant architecture/projects,No address/customer disclosure,Local intent hypothesis
hardwood flooring Mandeville,Mandeville,Homeowner/contractor,Decision,Mixed hardwood,8,Future Mandeville local page,Travel policy; local project proof; CTA,Northshore minimum required,Strategic keyword hypothesis; volume/rank not verified
hardwood flooring Covington,Covington,Homeowner/contractor,Decision,Mixed hardwood,8,Future Covington local page,Travel policy; local project proof; CTA,Northshore minimum required,Strategic keyword hypothesis; volume/rank not verified
hardwood flooring Northshore,Northshore,Homeowner/contractor,Decision,Mixed hardwood,8,Future Northshore hub,Defined towns; minimums; local proof,Do not claim blanket coverage until confirmed,Strategic keyword hypothesis; volume/rank not verified
hardwood floor refinishing Slidell,Slidell,Homeowner,Decision,Refinishing,7,Future Slidell local page,Travel policy; local proof,Northshore minimum required,Related local intent hypothesis
commercial flooring contractor New Orleans,New Orleans,GC/property manager,Decision,Commercial flooring,9,Future commercial capability page,Insurance/license verification; safety; capacity; references,Define accepted scopes,Strategic keyword hypothesis; volume/rank not verified
hotel flooring contractor New Orleans,New Orleans,Hospitality operator/GC,Decision,Hospitality flooring,9,Future hospitality capability page,Occupied-site plan; phasing; references; project proof,No hospitality claim without confirmed projects,Strategic keyword hypothesis; volume/rank not verified
flooring subcontractor New Orleans,New Orleans,General contractor,Decision,Subcontracting,9,Future contractor capability page,COI/W-9 readiness; schedule; scope; communication,Owner confirms procurement readiness,Strategic keyword hypothesis; volume/rank not verified
hardwood flooring contractor bid New Orleans,New Orleans,GC/developer,Decision,Subcontracting,7,Future contractor intake page,Plan/spec intake; coverage; capacity,No bid commitment without capacity,Related B2B intent hypothesis
church hardwood floor refinishing New Orleans,New Orleans,Institution,Decision,Large-area refinishing,7,Future institutions page,Relevant proof; scheduling; access plan,Verify institutional experience,Related vertical intent hypothesis
restaurant wood floor refinishing New Orleans,New Orleans,Hospitality operator,Decision,Commercial refinishing,8,Future hospitality page,Off-hours/phasing; finish suitability; proof,Do not promise downtime or durability without specs,Related vertical intent hypothesis
