Evidence ID,Company,Claim,Claim type,Source URL,Source type,Date observed,Geographic query,Device or context,Screenshot filename,Verified status,Confidence,Notes,Strategic implication
E-001,NOLA Dustless Hardwood Floors,Website URL is listed as https://www.noladustless.com/,Company identity,BUSINESS_CONTEXT.md,Repository-provided first-party context,2026-07-20,,Repository review,,Verified in repository only,High,Live operation and page contents not validated,"Use URL as a research target, not proof of website claims"
E-002,NOLA Dustless Hardwood Floors,Instagram URL is listed in business context,Social profile identity,BUSINESS_CONTEXT.md,Repository-provided first-party context,2026-07-20,,Repository review,,Verified in repository only,High,Profile activity and ownership not validated,Audit the profile before making activity claims
E-003,Market set,Five named companies are the strongest competitors,Competitor ranking,research/SERP_ANALYSIS.md,Phase 2 strategic hypothesis,2026-07-20,Multiple mapped queries,No live web access,,Provisional,Low,"Threat archetype ranking; no dated SERP, Maps, review, ad, or social evidence",Do not publish or finalize prioritization
E-004,Market set,Five named companies are most likely to block growth,Competitor ranking,strategy/INITIAL_DOMINATION_THESIS.md,Phase 2 strategic hypothesis,2026-07-20,Multiple mapped queries,No live web access,,Provisional,Low,Depends on current market visibility and capabilities,Validate before resource allocation
E-005,Market set,Local competitors underuse diagnosis-to-outcome proof architecture,Market whitespace,research/MARKET_WHITESPACE.md,Strategic inference,2026-07-20,,No live web access,,Provisional,Low,Requires website and social samples,Safe only as an internal test hypothesis
E-006,Market set,Historic-floor positioning is insufficiently specific,Positioning,research/MARKET_WHITESPACE.md,Strategic inference,2026-07-20,Historic restoration queries,No live web access,,Provisional,Low,Requires competitor site/SERP/social evidence,Do not claim an uncontested position
E-007,Market set,Contractor procurement paths are weak,Positioning,research/MARKET_WHITESPACE.md,Strategic inference,2026-07-20,Contractor queries,No live web access,,Provisional,Low,Requires competitor capability-page and intake audit,Validate before final B2B positioning
E-008,Market set,Commercial/hospitality logistics positioning is weak,Positioning,research/MARKET_WHITESPACE.md,Strategic inference,2026-07-20,Commercial and hospitality queries,No live web access,,Provisional,Low,"Requires competitor site, proof, and offer audit",Validate before final commercial positioning
E-009,Market set,Service-by-geography Search/Maps architecture is an opportunity,Search strategy,research/SERP_ANALYSIS.md,Strategic inference,2026-07-20,Mapped service and location queries,No live web access,,Provisional,Medium,"Supported by repository priority, not by current local ranking evidence",Safe to research and specify; not safe to assert market weakness
E-010,Market set,No paid ads were observable during Phase 2,Paid search observation,research/SERP_ANALYSIS.md,Environment limitation,2026-07-20,,Execution environment without public access,,Not evidence of absence,High,Must not be interpreted as competitors not advertising,Collect labeled sponsored-result captures
