Decision ID,Category,Question,Recommendation,Option A,Option B,Option C,Financial impact,Operational impact,Marketing impact,Risk,Dependency,Deadline,Owner decision,Status,Notes
OD-01,Revenue,Which services enter the first paid launch?,"Approve only Refinishing, Dust-Controlled Sanding, and Installation that pass gates",All three eligible services,Smaller eligible subset,Hold paid launch,Determines allocation; amount TBD,Concentrates response/crew load,Defines pages/campaigns,Launching an unready service,"Capacity, proof, claims",Day 1,,Awaiting owner,Prioritized revenue blockers first
OD-02,Budget,What are monthly and daily hard ceilings?,Enter owner-approved blanks; never infer,Monthly $___; daily $___,Smaller controlled ceiling,No spend,Caps exposure,Controls pacing,Enables campaign settings,Unauthorized spend,Economics/capacity,Day 1,,Awaiting owner,Prioritized revenue blockers first
OD-03,Geography,What exact areas are eligible?,Start with approved core only; exclude Northshore until rules pass,Core city/ZIP list,Narrower subset,Hold,Travel/economics vary,Affects fit,Controls targeting,Service leakage,Minimums/capacity,Day 1,,Awaiting owner,Prioritized revenue blockers first
OD-04,Operations,Who responds and when?,Named primary + backup with documented hours,Owner + backup,Owner only with pause windows,Hold,Staff burden,Critical SLA,Conversion quality,Missed leads,Phone/routing,Day 1,,Awaiting owner,Prioritized revenue blockers first
OD-05,Technology,Production page approach?,Integrate selected pages into current site if controllable; separate host only if that path cannot meet QA,Current-site integration,Separate same-brand subdomain,Hold/use prototype internally only,Build/hosting cost TBD,Deployment ownership,Trust/SEO continuity,Broken experience/fragmentation,Access/stack,Day 2,,Awaiting owner,Prioritized revenue blockers first
OD-06,CRM,What is launch system of record?,Controlled shared register with one data steward; upgrade after discipline is proven,Restricted spreadsheet/register,Validated simple CRM,Hold,Low initial cost vs vendor TBD,Requires daily entry,Enables attribution,Lost/duplicated leads,Privacy/owner,Day 2,,Awaiting owner,Prioritized revenue blockers first
OD-07,Tracking,Call tracking approach?,One validated vendor/number-pool approach; retain public NAP consistency,DNI on campaign pages,Dedicated campaign number where safe,No paid launch,Vendor cost TBD,Call routing/QA,Call attribution,NAP/routing/privacy,Phone/consent,Day 3,,Awaiting owner,Prioritized revenue blockers first
OD-08,Forms,Form backend approach?,Use secure supported backend on chosen stack with server validation,Native CMS backend,Validated form service,No form launch,Cost TBD,Routing/security,Lead capture,Data loss/privacy,Website owner,Day 3,,Awaiting owner,Prioritized revenue blockers first
OD-09,Claims,Which public claims are approved?,Use only evidence-linked exact wording,Approve evidence-backed set,Use narrower factual language,Hold affected service,Avoids liability,Requires review,Shapes ads/pages,Misrepresentation,Evidence/legal review,Day 4,,Awaiting owner,Prioritized revenue blockers first
OD-10,Proof,Which projects/assets have channel permission?,Register each asset and permission scope; no blanket assumption,Approved subset,Capture new work later,Use no project proof/hold,Capture/admin time,Asset workflow,Trust/conversion,Unauthorized use,Releases,Day 5,,Awaiting owner,Prioritized revenue blockers first
OD-11,Reviews,How will review requests operate?,Universal eligible cohort; one request + at most one reminder,Manual owner process,CRM-assisted later,Hold,Low cost,Requires consistent logging,GBP trust,Selective solicitation/noncompliance,Legal/platform validation,Day 7,,Awaiting owner,Prioritized revenue blockers first
OD-12,B2B,May warm outreach begin after proof gate?,Approve only named warm accounts and individualized contact,Named warm list,Internal list-building only,Hold,Time allocation,Owner-led follow-up,Pipeline,Premature claims/spam,Proof/capacity/legal,Day 14,,Awaiting owner,Prioritized revenue blockers first
